node,class,total_occurrences,num_articles,articles
upward connection to other mtds,FEATURE,161,36,"JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(4); D. Leynaud.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); Elverhoi, A., Breien.json(1); S. Lafuerza, N. Sultan.json(2); Wei Li a,⁎, Tiago M. Alves.json(8); Alves_AAPG_MTDs_14.json(6); Giacomo Dalla Valle.json(6); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(4); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(2); Ian R. Clark, Joseph A. Cartwright.json(7); RichardsonetalBasinResearch2011-online (1).json(6); Bull & Cartwright (2009).json(10); JFM_709_2012.json(3); 1-s2.0-S0264817216304585-main.json(3); 9781565762879_ch02.json(7); 1-s2.0-S0040195109002819-main.json(3); Submarine_Mass_Movements_on_Continental.json(12); Moscardelli_and_Wood_2008.json(6); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(6); Dos-Reis-et-al-2016-MPG.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(5); J. S. Laberg.json(4); 3-s2.0-B9780128130810007047-main.json(7); 1-s2.0-S0025322713000571-main.json(7); 845.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(4); Simon E. Lee.json(2); 1-s2.0-S0025322712000412-main.json(3); 9781565762879_ch03.json(7); epjbidisperse2007.json(2); lacoste-et-al.json(2); 1-s2.0-S0191814106000101-main.json(2); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1)"
vertical distribution of mtds,FEATURE,158,36,"Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(4); JFM_709_2012.json(14); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(13); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(2); RichardsonetalBasinResearch2011-online (1).json(6); lacoste-et-al.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(7); 9781565762879_ch03.json(3); Moscardelli_and_Wood_2008.json(7); 1-s2.0-S0025322712000412-main.json(3); 1-s2.0-S0040195109002819-main.json(4); Dos-Reis-et-al-2016-MPG.json(7); Wei Li a,⁎, Tiago M. Alves.json(2); Giacomo Dalla Valle.json(6); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(13); Submarine_Mass_Movements_on_Continental.json(10); Bull & Cartwright (2009).json(4); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(4); Alves_AAPG_MTDs_14.json(4); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(2); J. S. Laberg.json(3); S. Lafuerza, N. Sultan.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); Elverhoi, A., Breien.json(1); 1-s2.0-S0191814106000101-main.json(1); Simon E. Lee.json(5); Ian R. Clark, Joseph A. Cartwright.json(2); 1-s2.0-S0264817216304585-main.json(4); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(6); D. Leynaud.json(3); 1-s2.0-S0025322713000571-main.json(1); 845.json(1); epjbidisperse2007.json(1); 3-s2.0-B9780128130810007047-main.json(1); 9781565762879_ch02.json(4)"
topography confinement downwards,OTHER,153,36,"9781565762879_ch02.json(5); lacoste-et-al.json(6); Submarine_Mass_Movements_on_Continental.json(14); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(7); 9781565762879_ch03.json(9); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(6); 1-s2.0-S0025322712000412-main.json(2); JFM_709_2012.json(2); Dos-Reis-et-al-2016-MPG.json(5); 845.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(7); Bull & Cartwright (2009).json(11); S. Lafuerza, N. Sultan.json(4); epjbidisperse2007.json(5); 1-s2.0-S0191814106000101-main.json(5); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); D. Leynaud.json(9); Moscardelli_and_Wood_2008.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); 1-s2.0-S0040195109002819-main.json(6); Wei Li a,⁎, Tiago M. Alves.json(6); Ian R. Clark, Joseph A. Cartwright.json(4); Alves_AAPG_MTDs_14.json(6); Giacomo Dalla Valle.json(1); RichardsonetalBasinResearch2011-online (1).json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(2); 3-s2.0-B9780128130810007047-main.json(2); 1-s2.0-S0025322713000571-main.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(5); Elverhoi, A., Breien.json(1); 1-s2.0-S0264817216304585-main.json(1); Simon E. Lee.json(1); J. S. Laberg.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(1)"
chaotic facies distribution,FACIES,150,34,"Ian R. Clark, Joseph A. Cartwright.json(5); D. Leynaud.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(8); Submarine_Mass_Movements_on_Continental.json(7); 9781565762879_ch03.json(10); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(12); Moscardelli_and_Wood_2008.json(2); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(12); 9781565762879_ch02.json(3); epjbidisperse2007.json(6); J. S. Laberg.json(6); RichardsonetalBasinResearch2011-online (1).json(4); 1-s2.0-S0025322713000571-main.json(1); Bull & Cartwright (2009).json(4); Elverhoi, A., Breien.json(3); JFM_709_2012.json(12); 1-s2.0-S0264817216304585-main.json(4); Alves_AAPG_MTDs_14.json(3); Giacomo Dalla Valle.json(5); 845.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(5); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(6); 1-s2.0-S0025322712000412-main.json(1); Dos-Reis-et-al-2016-MPG.json(5); 3-s2.0-B9780128130810007047-main.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(4); S. Lafuerza, N. Sultan.json(2); Wei Li a,⁎, Tiago M. Alves.json(3); 386816a0.json(1); lacoste-et-al.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); Simon E. Lee.json(2)"
pore pressure increase by compression,TRIGGER,132,27,"JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(6); 3-s2.0-B9780128130810007047-main.json(13); D. Leynaud.json(15); lacoste-et-al.json(3); Submarine_Mass_Movements_on_Continental.json(13); 9781565762879_ch03.json(3); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(8); 1-s2.0-S0040195109002819-main.json(8); 1-s2.0-S0191814106000101-main.json(8); Dos-Reis-et-al-2016-MPG.json(4); S. Lafuerza, N. Sultan.json(11); Giacomo Dalla Valle.json(3); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(7); Wei Li a,⁎, Tiago M. Alves.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(4); JFM_709_2012.json(3); Simon E. Lee.json(1); Elverhoi, A., Breien.json(8); RichardsonetalBasinResearch2011-online (1).json(3); Moscardelli_and_Wood_2008.json(1); 1-s2.0-S0025322712000412-main.json(1); 9781565762879_ch02.json(1); 386816a0.json(1); J. S. Laberg.json(1); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1)"
preserved blocks size,FEATURE,127,31,"RichardsonetalBasinResearch2011-online (1).json(2); lacoste-et-al.json(1); 9781565762879_ch03.json(6); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1); 1-s2.0-S0025322712000412-main.json(5); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(10); 1-s2.0-S0191814106000101-main.json(10); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(12); 1-s2.0-S0025322713000571-main.json(3); Bull & Cartwright (2009).json(10); Moscardelli_and_Wood_2008.json(6); 1-s2.0-S0040195109002819-main.json(2); JFM_709_2012.json(3); Dos-Reis-et-al-2016-MPG.json(7); Alves_AAPG_MTDs_14.json(6); Giacomo Dalla Valle.json(2); 386816a0.json(2); epjbidisperse2007.json(5); 9781565762879_ch02.json(4); Wei Li a,⁎, Tiago M. Alves.json(6); J. S. Laberg.json(4); D. Leynaud.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); 3-s2.0-B9780128130810007047-main.json(1); Elverhoi, A., Breien.json(5); Submarine_Mass_Movements_on_Continental.json(4); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); S. Lafuerza, N. Sultan.json(1); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1)"
plunging pool effect,OTHER,125,32,"9781565762879_ch02.json(5); Ian R. Clark, Joseph A. Cartwright.json(5); Submarine_Mass_Movements_on_Continental.json(7); 1-s2.0-S0025322713000571-main.json(2); Bull & Cartwright (2009).json(6); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); epjbidisperse2007.json(4); J. S. Laberg.json(4); lacoste-et-al.json(1); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(7); 1-s2.0-S0191814106000101-main.json(2); 845.json(12); Simon E. Lee.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(3); 9781565762879_ch03.json(9); JFM_709_2012.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(5); D. Leynaud.json(5); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(1); Moscardelli_and_Wood_2008.json(4); S. Lafuerza, N. Sultan.json(1); RichardsonetalBasinResearch2011-online (1).json(2); 3-s2.0-B9780128130810007047-main.json(3); Elverhoi, A., Breien.json(4); Wei Li a,⁎, Tiago M. Alves.json(2); 1-s2.0-S0025322712000412-main.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); Alves_AAPG_MTDs_14.json(5); Giacomo Dalla Valle.json(2); 1-s2.0-S0264817216304585-main.json(1); Dos-Reis-et-al-2016-MPG.json(1)"
sedimentation rate and type,MATERIAL,120,31,"Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(5); D. Leynaud.json(7); 1-s2.0-S0025322712000412-main.json(4); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(10); Wei Li a,⁎, Tiago M. Alves.json(4); Giacomo Dalla Valle.json(5); epjbidisperse2007.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(7); J. S. Laberg.json(2); S. Lafuerza, N. Sultan.json(1); 3-s2.0-B9780128130810007047-main.json(3); Bull & Cartwright (2009).json(5); Moscardelli_and_Wood_2008.json(4); Alves_AAPG_MTDs_14.json(5); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(4); Submarine_Mass_Movements_on_Continental.json(5); 9781565762879_ch02.json(5); 1-s2.0-S0025322713000571-main.json(5); 9781565762879_ch03.json(11); 1-s2.0-S0191814106000101-main.json(1); 845.json(2); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(4); 1-s2.0-S0040195109002819-main.json(1); 1-s2.0-S0264817216304585-main.json(4); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(3); 386816a0.json(1); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); Elverhoi, A., Breien.json(2); Simon E. Lee.json(1); Ian R. Clark, Joseph A. Cartwright.json(1)"
us median slope,LOCATION,116,30,"Alves_AAPG_MTDs_14.json(8); Submarine_Mass_Movements_on_Continental.json(11); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(8); epjbidisperse2007.json(12); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); D. Leynaud.json(3); 3-s2.0-B9780128130810007047-main.json(4); Wei Li a,⁎, Tiago M. Alves.json(6); 1-s2.0-S0025322712000412-main.json(2); 845.json(1); 9781565762879_ch02.json(3); RichardsonetalBasinResearch2011-online (1).json(2); 1-s2.0-S0025322713000571-main.json(4); Bull & Cartwright (2009).json(2); Dos-Reis-et-al-2016-MPG.json(10); 1-s2.0-S0264817216304585-main.json(1); 1-s2.0-S0040195109002819-main.json(1); 9781565762879_ch03.json(8); Moscardelli_and_Wood_2008.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(5); Simon E. Lee.json(5); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(2); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); S. Lafuerza, N. Sultan.json(4); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); J. S. Laberg.json(2); Ian R. Clark, Joseph A. Cartwright.json(1); Giacomo Dalla Valle.json(2)"
width variation,OTHER,108,26,"Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(10); Submarine_Mass_Movements_on_Continental.json(7); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(8); 1-s2.0-S0025322713000571-main.json(4); epjbidisperse2007.json(7); RichardsonetalBasinResearch2011-online (1).json(1); Ian R. Clark, Joseph A. Cartwright.json(5); Wei Li a,⁎, Tiago M. Alves.json(8); Giacomo Dalla Valle.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(7); 9781565762879_ch02.json(2); Alves_AAPG_MTDs_14.json(7); JFM_709_2012.json(6); 1-s2.0-S0191814106000101-main.json(4); J. S. Laberg.json(3); 1-s2.0-S0040195109002819-main.json(3); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); 1-s2.0-S0264817216304585-main.json(3); lacoste-et-al.json(3); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); 9781565762879_ch03.json(2); Bull & Cartwright (2009).json(6); 3-s2.0-B9780128130810007047-main.json(1); D. Leynaud.json(1); Moscardelli_and_Wood_2008.json(1)"
seafloor effective friction angle,LOCATION,102,31,"Ian R. Clark, Joseph A. Cartwright.json(10); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(2); D. Leynaud.json(6); Submarine_Mass_Movements_on_Continental.json(6); 1-s2.0-S0025322713000571-main.json(1); JFM_709_2012.json(2); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(10); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(2); RichardsonetalBasinResearch2011-online (1).json(2); 3-s2.0-B9780128130810007047-main.json(2); lacoste-et-al.json(3); 9781565762879_ch03.json(6); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(8); 1-s2.0-S0191814106000101-main.json(3); Alves_AAPG_MTDs_14.json(4); 9781565762879_ch02.json(5); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); Bull & Cartwright (2009).json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(2); S. Lafuerza, N. Sultan.json(2); 1-s2.0-S0025322712000412-main.json(1); Wei Li a,⁎, Tiago M. Alves.json(2); 845.json(2); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(2); Giacomo Dalla Valle.json(2); Moscardelli_and_Wood_2008.json(1); Elverhoi, A., Breien.json(2); Simon E. Lee.json(2); J. S. Laberg.json(1)"
terminal dispersion,OTHER,97,31,"1-s2.0-S0264817216304585-main.json(2); Ian R. Clark, Joseph A. Cartwright.json(8); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(4); 9781565762879_ch02.json(4); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(5); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); JFM_709_2012.json(8); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(9); 9781565762879_ch03.json(7); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(4); Wei Li a,⁎, Tiago M. Alves.json(1); Submarine_Mass_Movements_on_Continental.json(3); Bull & Cartwright (2009).json(3); Simon E. Lee.json(2); 3-s2.0-B9780128130810007047-main.json(2); D. Leynaud.json(4); Moscardelli_and_Wood_2008.json(4); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(3); 1-s2.0-S0025322712000412-main.json(1); 1-s2.0-S0040195109002819-main.json(1); 1-s2.0-S0025322713000571-main.json(2); Elverhoi, A., Breien.json(4); 845.json(1); RichardsonetalBasinResearch2011-online (1).json(1); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(1); Dos-Reis-et-al-2016-MPG.json(3); epjbidisperse2007.json(2); lacoste-et-al.json(1); Giacomo Dalla Valle.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(2); S. Lafuerza, N. Sultan.json(1)"
flow direction,PROCESS,94,21,"9781565762879_ch02.json(16); epjbidisperse2007.json(1); RichardsonetalBasinResearch2011-online (1).json(4); Submarine_Mass_Movements_on_Continental.json(2); Bull & Cartwright (2009).json(7); Elverhoi, A., Breien.json(19); Moscardelli_and_Wood_2008.json(3); J. S. Laberg.json(13); 386816a0.json(5); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(2); 1-s2.0-S0025322713000571-main.json(3); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(6); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(1); Ian R. Clark, Joseph A. Cartwright.json(1); D. Leynaud.json(1); Alves_AAPG_MTDs_14.json(3); 1-s2.0-S0040195109002819-main.json(1); 3-s2.0-B9780128130810007047-main.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(3); 9781565762879_ch03.json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1)"
thrust fault angle increase to toe,FEATURE,94,27,"Bull & Cartwright (2009).json(5); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(5); 9781565762879_ch02.json(5); A.I. Chemenda, T. Bois ⁎, S. Bouissou, E. Tric.json(1); RichardsonetalBasinResearch2011-online (1).json(6); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(6); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(4); 9781565762879_ch03.json(6); 1-s2.0-S0025322712000412-main.json(1); 1-s2.0-S0191814106000101-main.json(5); 1-s2.0-S0040195109002819-main.json(4); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(4); Dos-Reis-et-al-2016-MPG.json(2); JFM_709_2012.json(7); Submarine_Mass_Movements_on_Continental.json(9); D. Leynaud.json(2); Alves_AAPG_MTDs_14.json(3); Ian R. Clark, Joseph A. Cartwright.json(6); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); S. Lafuerza, N. Sultan.json(1); Moscardelli_and_Wood_2008.json(3); 3-s2.0-B9780128130810007047-main.json(1); 845.json(1); J. S. Laberg.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(1); Simon E. Lee.json(1); Wei Li a,⁎, Tiago M. Alves.json(1)"
bs flat sub-horizontal zone,LOCATION,94,29,"1-s2.0-S0264817216304585-main.json(13); 3-s2.0-B9780128130810007047-main.json(1); Submarine_Mass_Movements_on_Continental.json(4); 845.json(5); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(3); 9781565762879_ch03.json(3); Moscardelli_and_Wood_2008.json(4); JFM_709_2012.json(2); 1-s2.0-S0040195109002819-main.json(4); Wei Li a,⁎, Tiago M. Alves.json(7); Giacomo Dalla Valle.json(9); Chinese J of Geophysics - 2013 - WU - Analysis on Seismic Characteristics and Triggering Mechanisms of Mass Transport.json(2); 1-s2.0-S0191814106000101-main.json(1); Alves_AAPG_MTDs_14.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(4); D. Leynaud.json(1); Dos-Reis-et-al-2016-MPG.json(4); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(3); 1-s2.0-S0025322713000571-main.json(4); Bull & Cartwright (2009).json(4); Elverhoi, A., Breien.json(1); 1-s2.0-S0025322712000412-main.json(3); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(2); 9781565762879_ch02.json(3); RichardsonetalBasinResearch2011-online (1).json(1); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(1); Simon E. Lee.json(1); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(1)"
posterior fluid migrations,OTHER,94,31,"Ian R. Clark, Joseph A. Cartwright.json(7); Submarine_Mass_Movements_on_Continental.json(4); 9781565762879_ch03.json(2); Elverhoi, A., Breien.json(4); 1-s2.0-S0040195109002819-main.json(1); 1-s2.0-S0191814106000101-main.json(2); Journal of Geophysical Research  Solid Earth - 2005 - Mangeney‐Castelnau - On the use of Saint Venant equations to simulate.json(7); JGR Solid Earth - 2013 - Mourgues - The Coulomb critical taper theory applied to gravitational instabilities.json(4); lacoste-et-al.json(2); Sedimentology - 2011 - BOURGET - Turbidite system architecture and sedimentary processes along topographically complex.json(5); Moscardelli_and_Wood_2008.json(5); Wei Li a,⁎, Tiago M. Alves.json(2); Giacomo Dalla Valle.json(2); Sedimentology - 2001 - Mulder - The physical character of subaqueous sedimentary density flows and their deposits.json(3); D. Leynaud.json(5); 1-s2.0-S0025322712000412-main.json(2); 1-s2.0-S0264817216304585-main.json(6); Simon E. Lee.json(5); J. S. Laberg.json(2); Alves_AAPG_MTDs_14.json(3); 9781565762879_ch02.json(5); Dos-Reis-et-al-2016-MPG.json(2); S. Lafuerza, N. Sultan.json(1); Basin Research - 2016 - Ortiz‐Karpf - Mass‐transport complexes as markers of deep‐water fold‐and‐thrust belt evolution .json(1); RichardsonetalBasinResearch2011-online (1).json(3); JGR Earth Surface - 2013 - Urgeles - Submarine landslides of the Mediterranean Sea  Trigger mechanisms  dynamics  and.json(2); JFM_709_2012.json(1); 3-s2.0-B9780128130810007047-main.json(2); Bull & Cartwright (2009).json(1); Two-scale_gravitational_collapse_in_the_Amazon_Fan.json(2); Megaslides_in_the_Foz_do_Amazonas_Basin_Brazilian_.json(1)"
